298,20.0,16.2,16.3,15.9
400,22.6,18.3,18.5,18.0
500,25.1,20.7,20.9,20.3
600,27.6,23.2,23.4,22.7
700,30.1,25.8,26.0,25.2
800,32.6,28.4,28.7,27.8
900,35.1,31.1,31.4,30.4
1000,37.6,33.9,34.2,33.0
1100,40.1,36.7,36.9,35.8
1200,42.6,39.5,39.7,38.5
1300,45.1,42.4,42.6,41.2
1400,47.6,45.2,45.4,44.0
1500,50.1,48.2,48.3,46.9
1600,52.6,51.2,51.2,49.8
1700,55.1,54.2,54.2,52.7
1800,57.6,57.2,57.1,55.6
1900,60.1,60.3,60.1,58.6
2000,62.6,63.5,63.1,61.7
2200,67.6,70.0,69.3,68.0
2400,72.6,76.9,75.6,74.5
2500,75.1,80.4,78.9,78.0
2600,77.6,84.0,82.2,81.4
2800,82.6,91.2,88.8,88.4
3000,87.6,98.4,95.5,95.3
